id,code,sysobjid,name,adminrightid,org_area,active,ordr,created_at,created_by,updated_at,updated_by
561,vp_photos.create,1112,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
562,vp_photos.update,1112,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
563,vp_photos.delete,1112,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
568,wrkreps.read,1131,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
569,wrkreps.create,1131,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
570,wrkreps.update,1131,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
571,wrkreps.delete,1131,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
572,acs.hr,1,"доступ к информации ОК",9,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
573,acs.read,1501,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
574,acs.create,1501,"Создание записей",9,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
575,acs.update,1501,"Изменение записей",9,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
576,acs.delete,1501,"Удаление записей",9,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
577,acs.admin,1501,"администрирование пользователей",9,0,1,255,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
578,user_acs.read,1502,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
579,user_acs.create,1502,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
580,user_acs.update,1502,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
581,user_acs.delete,1502,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
582,obj_staffs.read,1601,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
583,obj_staffs.create,1601,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
584,obj_staffs.update,1601,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
585,obj_staffs.delete,1601,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
586,documents.read,1701,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
587,documents.create,1701,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
588,documents.update,1701,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
589,documents.delete,1701,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
590,stforders.read,1202,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
591,stforders.create,1202,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
592,stforders.update,1202,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
593,stforders.delete,1202,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
594,org_caselists.read,1711,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
595,org_caselists.create,1711,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
596,org_caselists.update,1711,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
597,org_caselists.delete,1711,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
