id,parid,code,name,active,ordr,model_class,acl_sysobjid,acl_sysobjcode,created_at,created_by,updated_at,updated_by
503,NULL,FinDocNums,"Источник номеров для фин.документов",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
504,NULL,FinDocs,"Финансовые (Учетные) документы",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
505,NULL,FinDocItems,"Состав документов",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
510,NULL,pd_srctypes,"Тип источника для платежа",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
520,NULL,paydocs,"Платежные документы",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
535,461,proj_mailboxes,"Ящики электронной почты для проекта",1,23,mailbox,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
536,461,proj_mails,"Входящие письма проекта",1,24,mail_msg,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
600,NULL,Analitics,"Аналитические отчеты",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
601,NULL,rep01,"Сводка плана продаж",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
602,NULL,rep02,"Анализ продаж",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
603,NULL,rep03,"Частота продажи товаров",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
604,NULL,rep04,"список товаров с заданной частотностью продажи",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
605,NULL,rep05,"Анализ товарных запасов",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
701,NULL,SalePlans,"Планы продаж",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
731,NULL,prodplans,"Планы производства работ",1,999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
732,NULL,prodfacttypes,"Типы фактов для планов работ",1,1,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
733,NULL,prodplan_facts,"Фактические данные исполнения плана работ",1,3,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
734,NULL,prodplan_estimates,"Оценки выполнения плана",1,4,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
735,NULL,prodplan_depends,"зависимости планов продаж",1,5,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
736,731,prodplan_items,"Состав плана выполнения работ",1,2,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
